0,1,1,1
1,2,1.66667,1.66667
2,4,2.42857,2.71429
3,8,3.26667,3.73333
4,16,4.16129,6.3871
5,32,5.09524,7.66667
6,64,6.05512,7.59055
7,128,7.03137,9.06667
8,256,8.01761,10.3033
9,512,9.00978,12.2463
10,1024,10.0054,13.3972
11,2048,11.0029,14.0237
,,,
,,,
,,,
1,1,,
2,1.5,,
3,2,,
4,2.5,,
5,3,,
6,3.5,,
7,4,,
8,4.5,,
9,5,,
10,5.5,,
11,6,,
12,6.5,,
,,,
,,,
1,1,,
2,1.666666667,,
3,2.428571429,,
4,3.266666667,,
5,4.161290323,,
6,5.095238095,,
7,6.05511811,,
8,7.031372549,,
9,8.017612524,,
10,9.009775171,,
11,10.00537372,,
12,11.0029304,,
